SampleID	Time_point	Tissue_type	State	Field	Sampling_date	ID	NewSampleID	OldID	Site	Main_plot	Sub_plot_A	Sub_plot_B	CA_Row	Location	Block	Bed	row	Year
MCCT1-S4	T1	Bulk_soil	California	CA_Field_1		MCC4	S-T1-MCC4		CA1	mulch	control	control	4					2022
MCCT1R1	T1	Rhizosphere	California	CA_Field_1		MCC1	Z-T1-MCC1		CA1	mulch	control	control	1					2022
MCCT1R2	T1	Rhizosphere	California	CA_Field_1		MCC2	Z-T1-MCC2		CA1	mulch	control	control	2					2022
MCCT1R3	T1	Rhizosphere	California	CA_Field_1		MCC3	Z-T1-MCC3		CA1	mulch	control	control	3					2022
MCCT1R4	T1	Rhizosphere	California	CA_Field_1		MCC4	Z-T1-MCC4		CA1	mulch	control	control	4					2022
MCHT1-S1	T1	Bulk_soil	California	CA_Field_1		MCH1	S-T1-MCH1		CA1	mulch	control	humic	1					2022
MCHT1-S2	T1	Bulk_soil	California	CA_Field_1		MCH2	S-T1-MCH2		CA1	mulch	control	humic	2					2022
MCHT1-S3	T1	Bulk_soil	California	CA_Field_1		MCH3	S-T1-MCH3		CA1	mulch	control	humic	3					2022
MCHT1-S4	T1	Bulk_soil	California	CA_Field_1		MCH4	S-T1-MCH4		CA1	mulch	control	humic	4					2022
MCHT1R1	T1	Rhizosphere	California	CA_Field_1		MCH1	Z-T1-MCH1		CA1	mulch	control	humic	1					2022
MCHT1R2	T1	Rhizosphere	California	CA_Field_1		MCH2	Z-T1-MCH2		CA1	mulch	control	humic	2					2022
MCHT1R3	T1	Rhizosphere	California	CA_Field_1		MCH3	Z-T1-MCH3		CA1	mulch	control	humic	3					2022
MCHT1R4	T1	Rhizosphere	California	CA_Field_1		MCH4	Z-T1-MCH4		CA1	mulch	control	humic	4					2022
MGCT1-S2	T1	Bulk_soil	California	CA_Field_1		MGC1	S-T1-MGC1		CA1	mulch	Glyphosate	control	1					2022
MGCT1-S3	T1	Bulk_soil	California	CA_Field_1		MGC2	S-T1-MGC2		CA1	mulch	Glyphosate	control	2					2022
MGCT1-S4-REDO	T1	Bulk_soil	California	CA_Field_1		MGC4	S-T1-MGC4		CA1	mulch	Glyphosate	control	4					2022
MGCT1R1	T1	Rhizosphere	California	CA_Field_1		MGC1	Z-T1-MGC1		CA1	mulch	Glyphosate	control	1					2022
MGCT1R2	T1	Rhizosphere	California	CA_Field_1		MGC2	Z-T1-MGC2		CA1	mulch	Glyphosate	control	2					2022
MGCT1R3	T1	Rhizosphere	California	CA_Field_1		MGC3	Z-T1-MGC3		CA1	mulch	Glyphosate	control	3					2022
MGCT1R4	T1	Rhizosphere	California	CA_Field_1		MGC4	Z-T1-MGC4		CA1	mulch	Glyphosate	control	4					2022
MGHT1-S1	T1	Bulk_soil	California	CA_Field_1		MGH1	S-T1-MGH1		CA1	mulch	Glyphosate	humic	1					2022
MGHT1-S2	T1	Bulk_soil	California	CA_Field_1		MGH2	S-T1-MGH2		CA1	mulch	Glyphosate	humic	2					2022
MGHT1-S3	T1	Bulk_soil	California	CA_Field_1		MGH3	S-T1-MGH3		CA1	mulch	Glyphosate	humic	3					2022
MGHT1-S4	T1	Bulk_soil	California	CA_Field_1		MGH4	S-T1-MGH4		CA1	mulch	Glyphosate	humic	4					2022
MGHT1R1	T1	Rhizosphere	California	CA_Field_1		MGH1	Z-T1-MGH1		CA1	mulch	Glyphosate	humic	1					2022
MGHT1R2	T1	Rhizosphere	California	CA_Field_1		MGH2	Z-T1-MGH2		CA1	mulch	Glyphosate	humic	2					2022
MGHT1R3	T1	Rhizosphere	California	CA_Field_1		MGH3	Z-T1-MGH3		CA1	mulch	Glyphosate	humic	3					2022
MGHT1R4	T1	Rhizosphere	California	CA_Field_1		MGH4	Z-T1-MGH4		CA1	mulch	Glyphosate	humic	4					2022
R-T1-CCC1	T1	Roots	California	CA_Field_1	6/8/22	CCC1	R-T1-CCC1		CA1	control	control	control	1					2022
R-T1-CCC2	T1	Roots	California	CA_Field_1	6/8/22	CCC2	R-T1-CCC2		CA1	control	control	control	2					2022
R-T1-CCC3	T1	Roots	California	CA_Field_1	6/8/22	CCC3	R-T1-CCC3		CA1	control	control	control	3					2022
